id,name,date,is_hazardous,diameter_min_km,diameter_max_km,velocity_km_s,miss_distance_km,diameter_km,log_diameter,log_velocity,log_miss_distance,astrorisk_score,uncertainty_ratio,event_id
3335422,(2006 KY112),2025-06-12,False,0.1474195145,0.3296400556,12.2497917096,25701584.937648013,0.22044359132509386,-0.6567025221457734,1.088128704202838,7.409959905761282,-7.203810063792925,1.2360679764441445,3335422_2025-06-12
3735680,(2015 XR1),2025-06-12,False,0.0606114923,0.1355314169,12.6469332649,6932810.873055795,0.0906353211051985,-1.042702521803208,1.1019852268908117,6.840909352815448,-7.765046464443449,1.2360679738022753,3735680_2025-06-12
54053743,(2020 RS),2025-06-12,False,0.022108281,0.0494356193,4.2230591087,38666686.911673784,0.033059591087813284,-1.480702521181225,0.6256271601476213,7.587336961894133,-10.778190205142565,1.2360679772612442,54053743_2025-06-12
54053762,(2020 RG1),2025-06-12,False,0.022108281,0.0494356193,5.4866303371,72487093.64839165,0.033059591087813284,-1.480702521181225,0.7393057005054697,7.8602606871743665,-10.823756849707102,1.2360679772612442,54053762_2025-06-12
54200305,(2021 SU1),2025-06-12,False,0.0128989683,0.02884297,9.6605744443,49781716.7995816,0.019288456540320974,-1.7147025208997806,0.9850029515309806,7.697069869848471,-10.871171529485851,1.2360679711410099,54200305_2025-06-12
54280768,(2022 KQ5),2025-06-12,False,0.0040230458,0.0089958039,5.063457811,5202068.340383304,0.006015856638710618,-2.2207025145587456,0.7044471957743321,6.716176053291689,-11.969389205419262,1.2360679504054382,54280768_2025-06-12
54305663,(2022 SV4),2025-06-12,False,0.0185590173,0.0414992243,13.9589406661,47456514.05437505,0.027752203907442746,-1.5567025206400165,1.1448524612470057,7.676295833701149,-10.056698473127188,1.236067972003733,54305663_2025-06-12
54323533,(2022 VJ),2025-06-12,False,0.0250354255,0.0559809132,18.2896827667,60425759.24612898,0.037436692987503135,-1.4267025209723607,1.2622061727359544,7.781222115998722,-9.536917333443895,1.2360679700208492,54323533_2025-06-12
54445580,(2024 LQ),2025-06-12,False,0.0250354255,0.0559809132,20.2167322291,58950237.42654043,0.037436692987503135,-1.4267025209723607,1.305710958895144,7.770485558588508,-9.4391712037153,1.2360679700208492,54445580_2025-06-12
54527657,(2025 HV4),2025-06-12,False,0.0817626533,0.1828268509,4.8516464111,27442005.465163562,0.12226368399515652,-0.9127025220249608,0.6858891418935529,7.438415846489101,-8.804745128776878,1.2360679772166006,54527657_2025-06-12
